"Agency","Award Date","Vendor","Contract","Contract-ID","Subject","Current Contract Value","Status","Completion Date","Procurement Method","Category","NGIP Codes and Categories","Vendor ID"
"Department of Public Safety","2024-01-26","RINCON AIR & HEAT COMPANY LLC","0000000000000000000003678","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003678' target='_blank'>0000000000000000000003678</a>","Rgn2_Glycol Water Treatment","$68,475","Completed","08/31/2024","Competitive","Goods","885-94 Goods","""16115390128000"""
"Department of Public Safety","2024-01-26","GTS TECHNOLOGY SOLUTIONS INC","0000000000000000000003679","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003679' target='_blank'>0000000000000000000003679</a>","3035795 - 120 Pre 3480s","$247,239","Completed","08/31/2024","Competitive","Information","204-68 Information Technology, 204-54 Information Technology","""17423397979001"""
"Department of Public Safety","2024-01-29","ARROW AVIATION CO LLC","0000000000000000000003618","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003618' target='_blank'>0000000000000000000003618</a>","Heavy Aviation Maintenance","$1,500,000","Active","01/31/2029","Competitive","Other","905-28 Other Services, 905-60 Non-Construction Maintenance, 905-4  Other Services, 905-36 Other Services, 905-18 Non-Construction Maintenance, 905-47 Other Services, 905-16 Non-Construction Maintenance, 905-12 Security/Safety Services, 905-41 Other Services, 905-11 Non-Construction Maintenance, 905-34 Other Services, 905-37 Other Services, 905-10 Other Services, 905-13 Non-Construction Maintenance, 905-19 Other Services, 905-80 Other Services, 905-5  Other Services, 905-20 Security/Safety Services, 905-90 Non-Construction Maintenance, 905-50 Other Services, 905-53 Other Services, 905-15 Non-Construction Maintenance, 905-38 Non-Construction Maintenance, 905-70 Non-Construction Maintenance, 905-0  Other Services, 905-3  Other Services, 905-26 Security/Safety Services, 905-67 Non-Construction Maintenance, 905-31 Other Services, 905-59 Other Services, 905-17 Security/Safety Services, 905-71 Other Services, 905-32 Other Services, 905-35 Other Services, 905-14 Non-Construction Maintenance, 905-66 Non-Construction Maintenance, 905-69 Non-Construction Maintenance, 905-72 Other Services, 905-33 Other Services, 905-68 Security/Safety Services","""17213399862000"""
"Department of Public Safety","2024-01-29","GALLS LLC","0000000000000000000003673","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003673' target='_blank'>0000000000000000000003673</a>","THP State Body Armor","$631,870","Completed","08/31/2024","Competitive","Goods","680-8  Goods","""12035459895003"""
"Department of Public Safety","2024-01-29","JM ENGINEERING AND RESEARCH GROUP","0000000000000000000003680","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003680' target='_blank'>0000000000000000000003680</a>","FY24 IOD SOLICT Lamar Chiller","$71,968","Active","08/31/2029","Competitive","Consulting","910-16 Consulting Services, 910-74 Construction, 910-73 Construction, 910-76 Construction, 910-37 Construction, 910-72 Construction, 910-75 Construction, 910-36 Construction, 910-62 Security/Safety Services, 910-65 Construction, 910-68 Construction, 910-23 Construction, 910-78 Construction, 910-81 Non-Construction Maintenance, 910-84 Construction, 910-13 Construction, 910-45 Construction, 910-77 Construction, 910-80 Construction, 910-18 Construction, 910-70 Non-Construction Maintenance, 910-79 Construction, 910-6  Construction, 910-38 Construction, 910-61 Construction, 910-67 Security/Safety Services, 910-1  Construction, 910-24 Construction, 910-27 Non-Construction Maintenance, 910-82 Construction, 910-14 Construction, 910-40 Construction, 910-69 Construction, 910-63 Construction, 910-86 Construction, 910-2  Non-Construction Maintenance, 910-5  Construction, 910-60 Construction, 910-25 Construction, 910-0  Construction, 910-64 Construction, 910-3  Non-Construction Maintenance, 910-9  Construction, 910-12 Non-Construction Maintenance, 910-15 Construction, 910-47 Non-Construction Maintenance, 910-59 Non-Construction Maintenance, 910-4  Non-Construction Maintenance, 910-10 Construction, 910-39 Non-Construction Maintenance, 910-42 Construction, 910-71 Construction, 910-8  Construction, 910-11 Non-Construction Maintenance, 910-46 Non-Construction Maintenance, 910-66 Construction, 910-17 Construction, 910-49 Construction, 910-55 Construction, 910-7  Construction, 910-20 Construction, 910-26 Construction, 910-52 Construction, 910-30 Construction, 910-53 Construction, 910-56 Construction, 910-85 Construction, 910-22 Construction, 910-48 Construction, 910-51 Construction, 910-54 Construction, 910-83 Non-Construction Maintenance","""12049363620*00"""
"Department of Public Safety","2024-01-30","AGILENT TECHNOLOGIES INC","0000000000000000000003683","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003683' target='_blank'>0000000000000000000003683</a>","Aus Tox QTOF Service Contract","$54,270","Completed","02/11/2025","Competitive","Goods","992-77 Non-Construction Maintenance","""17705187726011"""
"Department of Public Safety","2024-01-31","GALLS LLC","0000000000000000000003685","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003685' target='_blank'>0000000000000000000003685</a>","A24 Soft Body Armor","$122,850","Completed","08/31/2024","Competitive","Goods","680-8  Goods","""12035459853000"""
"Department of Public Safety","2024-01-31","GTS TECHNOLOGY SOLUTION INC","0000000000000000000003686","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003686' target='_blank'>0000000000000000000003686</a>","fy24 records","$318,273","Active","01/31/2027","Competitive","Information","208-11 Information Technology","""17423397979025"""
"Department of Public Safety","2024-01-31","GALLS","0000000000000000000003687","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003687' target='_blank'>0000000000000000000003687</a>","A24 TAC Vests","$222,390","Completed","08/31/2024","Competitive","Goods","680-8  Goods","""12328177642003"""
"Department of Public Safety","2024-01-31","BASTROP SCALE CO INC","0000000000000000000003688","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003688' target='_blank'>0000000000000000000003688</a>","Penwell Static Scale Platform","$109,150","Completed","08/31/2025","Competitive","Goods","210-85 Goods","""17421494885002"""
"Department of Public Safety","2024-01-31","WORKQUEST-PRODUCTS","0000000000000000000003689","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003689' target='_blank'>0000000000000000000003689</a>","Falfurrias N/S Insp_Janitorial","$66,644","Active","08/31/2027","Non-Comp, Direct Award","Goods","910-39 Non-Construction Maintenance","""17419760511200"""
"Department of Public Safety","2024-02-01","JAMES ENTERPRISE","0000000000000000000003647","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003647' target='_blank'>0000000000000000000003647</a>","Odessa AO Janitorial","$59,400","Active","08/31/2028","Competitive","Goods","910-39 Non-Construction Maintenance","""17525840124*00"""
"Department of Public Safety","2024-02-01","UDEMY INC","0000000000000000000003684","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003684' target='_blank'>0000000000000000000003684</a>","Udemy licenses","$265,859","Completed","01/31/2025","Competitive","Other","924-40 Other Services","""12717798644001"""
"Department of Public Safety","2024-02-01","RICKY L NORTHCUTT","0000000000000000000003704","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003704' target='_blank'>0000000000000000000003704</a>","TFC Lse.20758-Taylor-New Lease","$438,547","Active","01/31/2029","Non-Comp, Interagency","Goods","971-45 Rental or Lease","""13839446427000"""
"Department of Public Safety","2024-02-02","APPLIED CONCEPTS INC","0000000000000000000003694","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003694' target='_blank'>0000000000000000000003694</a>","24R0002756-Stalker Kits","$75,830","Completed","08/31/2024","Non-Comp, Emergency","Other","962-86 Other Services, 60 -24 Goods","""17515449258000"""
"Department of Public Safety","2024-02-04","GTS TECHNOLOGY SOLUTIONS","0000000000000000000003629","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=0000000000000000000003629' target='_blank'>0000000000000000000003629</a>","Netmotion Platform Full Access","$613,998","Active","02/03/2027","Competitive","Information","920-45 Information Technology","""17423397979002"""
