STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,ADDENDUM
TEXAS,Gray County Sheriff's Office ,County ,Gray County ,Warrant Service Officer,8/28/2025,link,
TEXAS,Grayson County Sheriff’s Office,County,Grayson County,Jail Enforcement Model,3/21/2025,link,
TEXAS,Grayson County Sheriff's Office ,County ,Grayson County,Warrant Service Officer,10/17/2025,link,
TEXAS,Gregg County Sheriff's Office,County,Gregg County,Jail Enforcement Model,3/17/2025,link,
TEXAS,Guadalupe County Sheriff's Office ,County,Guadalupe County ,Jail Enforcement Model ,12/2/2025,link,
TEXAS,Hale County Sheriff's Office,County ,Hale County,Warrant Service Officer,8/4/2025,link,
TEXAS,Hallettsville Police Department,Municipality ,Lavaca County,Task Force Model,1/26/2026,link,
TEXAS,Hamilton County Sheriff's Office ,County,Hamilton County,Task Force Model,4/10/2025,link,
TEXAS,Hardeman County Sheriff's Office,County,Hardeman County,Warrant Service Officer,6/25/2025,link,
TEXAS,Harrison County Sheriff's Office,County,Harrison County ,Warrant Service Officer,2/24/2025,link,
TEXAS,Hartley County Sheriff's Office,County,Hartley County,Task Force Model,7/23/2025,link,
TEXAS,Haskell Police Department,Municipality ,Haskell County,Task Force Model,1/26/2026,link,
TEXAS,Hemphill County Sheriff's Office,County,Hemphill County,Warrant Service Officer,7/24/2025,link,
TEXAS,Henderson County Sheriff's Office ,County ,Henderson County ,Warrant Service Officer,10/17/2025,link,
TEXAS,Hidalgo County Sheriff's Office ,County ,Hidalgo County ,Warrant Service Officer,10/17/2025,link,
TEXAS,Hill County Sheriff's Office,County,Hill County,Warrant Service Officer,5/7/2025,link,
TEXAS,Hockley County Sheriff's Office,County ,Hockley County,Warrant Service Officer,8/4/2025,link,
TEXAS,Holland Police Department ,Municipality,Bell County,Task Force Model,11/4/2025,link,
TEXAS,Hollywood Park Police Department,Municipality ,Bexar County,Task Force Model,1/26/2026,link,
TEXAS,Hood County Sheriff's Office,County,Hood County,Task Force Model,1/30/2026,link,
TEXAS,Hood County Sheriff's Office,County,Hood County,Warrant Service Officer,5/13/2025,link,
TEXAS,Hopkins County Sheriff's Office ,County ,Hopkins County,Task Force Model,1/26/2026,link,
TEXAS,Hopkins County Sheriff's Office ,County ,Hopkins County,Warrant Service Officer,10/17/2025,link,
TEXAS,Houston County Sheriff's Office,County,Houston County,Warrant Service Officer,4/2/2025,link,
TEXAS,Howard County Sheriff's Office ,County ,Howard County ,Warrant Service Officer,10/17/2025,link,
TEXAS,Ingram Police Department ,Municipality,Kerr County,Task Force Model,10/17/2025,link,
TEXAS,Jack County Sheriff's Office,County,Jack County,Warrant Service Officer,7/24/2025,link,
TEXAS,Jackson County Sheriff's Office,County,Jackson County ,Jail Enforcement Model,6/8/2020,link,
TEXAS,Jackson County Sheriff's Office,County,Jackson County ,Task Force Model,10/17/2025,link,
TEXAS,Jackson County Sheriff's Office ,County,Jackson County  ,Warrant Service Officer,2/24/2025,link,
TEXAS,Jasper County Sheriff's Office ,County ,Jasper County ,Warrant Service Officer,8/7/2025,link,
TEXAS,Jefferson County Sheriff's Office,County,Jefferson County,Task Force Model,6/30/2025,link,
TEXAS,Jefferson County Sheriff's Office,County,Jefferson County,Warrant Service Officer,6/30/2025,link,
TEXAS,Jefferson Police Department ,Municipality,Marion County,Task Force Model,12/18/2025,link,
TEXAS,Jim Wells County Sheriff's Office,County,Jim Wells County ,Jail Enforcement Model,2/28/2025,link,
TEXAS,Jim Wells County Sheriff's Office,County,Jim Wells County,Task Force Model,3/25/2025,link,
TEXAS,Jim Wells County Sheriff's Office,County,Jim Wells County,Warrant Service Officer,3/26/2025,link,
TEXAS,Johnson County Sheriff's Office ,County,Johnson County ,Jail Enforcement Model ,12/2/2025,link,
TEXAS,Karnes County Sheriff's Office ,County ,Karnes County,Warrant Service Officer,10/17/2025,link,
TEXAS,Kaufman County Sheriff's Office ,County,Kaufman County,Jail Enforcement Model,1/26/2026,link,
TEXAS,Keller Police Department ,Municipality,Tarrant County,Warrant Service Officer,8/28/2025,link,
TEXAS,Kendall County Sheriff's Office,County,Kendall County ,Warrant Service Officer,12/23/2020,link,
TEXAS,Kenedy County Sheriff's Office,County,Kenedy County,Task Force Model,2/10/2026,link pending,
TEXAS,Kerr County Sheriff's Office,County,Kerr County,Jail Enforcement Model,5/2/2025,link,
